Small dictionary from THU, with frequency data.
叫苦不迭,FREQ:3270;
因势利导,FREQ:3264;
德高望重,FREQ:3263;
舆论哗然,FREQ:3256;
有恃无恐,FREQ:3255;
人命关天,FREQ:3251;
气势磅礴,FREQ:3250;
昙花一现,FREQ:3245;
息事宁人,FREQ:3243;
日日夜夜,FREQ:3242;
荡然无存,FREQ:3240;
欢欣鼓舞,FREQ:3239;
惊天动地,FREQ:3231;
艰难险阻,FREQ:3220;
险象环生,FREQ:3218;
数一数二,FREQ:3206;
切身体会,FREQ:3204;
以假乱真,FREQ:3192;
风风雨雨,FREQ:3191;
天寒地冻,FREQ:3187;
辞旧迎新,FREQ:3187;
负债累累,FREQ:3178;
任劳任怨,FREQ:3173;
走投无路,FREQ:3171;
令行禁止,FREQ:3170;
重蹈覆辙,FREQ:3170;
无时无刻,FREQ:3168;
成家立业,FREQ:3167;
炎黄子孙,FREQ:3167;
剑拔弩张,FREQ:3166;
将心比心,FREQ:3161;
大手大脚,FREQ:3158;
一览无余,FREQ:3157;
为所欲为,FREQ:3156;
名正言顺,FREQ:3155;
纸上谈兵,FREQ:3153;
川流不息,FREQ:3143;
夜深人静,FREQ:3143;
一天到晚,FREQ:3139;
美不胜收,FREQ:3139;
善始善终,FREQ:3136;
枝繁叶茂,FREQ:3136;
意料之外,FREQ:3135;
斩钉截铁,FREQ:3131;
风云人物,FREQ:3125;
壮烈牺牲,FREQ:3123;
大有裨益,FREQ:3122;
铺平道路,FREQ:3120;
防微杜渐,FREQ:3119;
无影无踪,FREQ:3118;
举手之劳,FREQ:3116;
中西合璧,FREQ:3109;
走马上任,FREQ:3101;
拍手称快,FREQ:3098;
一年到头,FREQ:3095;
小心谨慎,FREQ:3093;
海纳百川,FREQ:3085;
来历不明,FREQ:3085;
汗流浃背,FREQ:3083;
七嘴八舌,FREQ:3078;
本末倒置,FREQ:3076;
嚎啕大哭,FREQ:3073;
不顾一切,FREQ:3073;
混淆视听,FREQ:3071;
热血沸腾,FREQ:3068;
左右为难,FREQ:3067;
风平浪静,FREQ:3063;
如履薄冰,FREQ:3061;
先天不足,FREQ:3056;
招摇撞骗,FREQ:3056;
解疑释惑,FREQ:3048;
不速之客,FREQ:3044;
心服口服,FREQ:3044;
东拼西凑,FREQ:3043;
一落千丈,FREQ:3041;
原原本本,FREQ:3041;
火上浇油,FREQ:3036;
就事论事,FREQ:3036;
没完没了,FREQ:3033;
报效祖国,FREQ:3032;
劳民伤财,FREQ:3030;
危言耸听,FREQ:3028;
天马行空,FREQ:3026;
煞费苦心,FREQ:3026;
自欺欺人,FREQ:3020;
讳莫如深,FREQ:3007;
断章取义,FREQ:3003;
五彩缤纷,FREQ:3002;
进退两难,FREQ:2995;
改过自新,FREQ:2994;
一口咬定,FREQ:2988;
急于求成,FREQ:2978;
严惩不贷,FREQ:2973;
疲惫不堪,FREQ:2973;
百折不挠,FREQ:2970;
一家老小,FREQ:2969;
大显身手,FREQ:2968;
兴旺发达,FREQ:2968;
头破血流,FREQ:2963;
浑水摸鱼,FREQ:2957;
不容置疑,FREQ:2944;
孜孜不倦,FREQ:2943;
长久之计,FREQ:2943;
闻名遐迩,FREQ:2942;
千辛万苦,FREQ:2941;
指手画脚,FREQ:2939;
赫赫有名,FREQ:2937;
灭顶之灾,FREQ:2934;
如影随形,FREQ:2931;
风调雨顺,FREQ:2927;
无所作为,FREQ:2926;
茶余饭后,FREQ:2925;
痛哭流涕,FREQ:2921;
高屋建瓴,FREQ:2915;
走马观花,FREQ:2912;
步调一致,FREQ:2909;
憨态可掬,FREQ:2907;
蒙在鼓里,FREQ:2905;
屡教不改,FREQ:2902;
歪风邪气,FREQ:2901;
失之交臂,FREQ:2899;
漫天要价,FREQ:2898;
平心而论,FREQ:2894;
